Hist nr.	Date of birth	Date of poly (I:C)	Date of death	Time after poly (I:C) (m)	Age at death (m)	Thymus (mg)	Spleen (mg)	WBC (·109/L)	Diagnosis (Based on pathology & FACS) (t=thymus, s=spleen, l=liver, ln=lymph node, k=kidney, i=intestine)	Mad2 DNA switching in % (PCR)	Mad2 DNA 2^-ΔΔCp (gDNA qPCR) compared to normal unswitched spleen	Mad2 RNA 2^-ΔΔCp (cDNA qPCR) compared to MPS1 s	Single cell sequencing	Bulk sequencing	RNA sequencing	CIS analysis	Sample for analysis Michael	Complete
145	10/01/13	20/03/13	29/07/13	4.3	6.6	n.a.	1970	n.a.	Other lymphoma (s)	90 (s)	0,12 (s)	0.82	n.a.	S; aneuploid (1805)	n.a.	S	S	n; could not isolate good RNA 
155	09/01/13	20/03/13	21/08/13	5.1	7.4	380	680	n.a.	T-cell lymphoma (t, s)	90 (t)	0,05 (t)	0,02 (t), 0,66(s)	n.a.	S; euploid (1805)	S (1806)	S	S	y
157	03/03/13	05/06/13	13/09/13	3.3	6.4	n.a.	877	n.a.	Other lymphoma (s)	80 (s)	0,06 (s)	0,02 (s)	n.a.	S; aneuploid	S	S	S	y
180	20/02/13	05/06/13	22/10/13	4.6	8.0	729	413	n.a.	T-cell lymphoma (t)	90 (t)	0,02 (t)	0,02 (t)	n.a.	S; aneuploid	T, S (1806)	S, T (1804)	S	y
184	20/02/13	05/06/13	28/10/13	4.8	8.2	966	856	n.a.	T-cell lymphoma (t, s)	90 (t)	0,11 (t)	0,05 (t), 0,04 (s)	n.a.	S, T; aneuploid	T	S, T (1804)	T & S = different	y
207	20/02/13	05/06/13	13/01/14	7.3	10.8	n.a.	153	n.a.	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
210	20/02/13	05/06/13	17/01/14	7.4	10.9	230	107	n.a.	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
212	20/02/13	05/06/13	31/01/14	7.9	11.3	400	1400	n.a.	Myeloid leukaemia (t, s)	85 (s)	0,17 (t)	0,02 (s), 0,04 (t)	n.a.	S; aneuploid	S (1806)	S	S	y
213	20/02/13	05/06/13	02/02/14	8.0	11.4	30	170	n.a.	No leukaemia/ lymphoma	50 (s)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
000	20/02/13	05/06/13	10/09/13	3.2	6.6	n.a.	n.a.	n.a.	Not analysed (discarded by animal caretakers)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
401	15/12/14	06/03/15	20/07/15	4.5	7.1	395	755	28.0	T-cell lymphoma (t, s)	90 (t, s)	0,03 (t)	0,03 (t), 0,02 (s)	T; aneuploid	T; aneuploid	T	T, S, Bm	T	y
402	21/12/14	06/03/15	22/07/15	4.5	7.0	45	2100	>100	Other lymphoma (s, l)	100 (s)	0,01 (s)	0,01 (s)	n.a.	S; aneuploid	S (1806)	S, Bl, Bm	S	y
403	17/12/14	06/03/15	27/07/15	4.7	7.3	1450	110	n.a.	T-cell lymphoma (t)	90 (t)	0,04 (t)	0,00 (t)	n.a.	T; aneuploid	T (1806)	T (1804)	T	y
404	17/12/14	06/03/15	27/07/15	4.7	7.3	53	1390	13.0	Other lymphoma (s)	90 (s)	0,05 (s)	0,01 (s)	n.a.	S; bit aneuploid	S	S, Bm	S	y
