Hist nr.	Date of birth	Date of poly (I:C)	Date of death	Time after poly (I:C) (m)	Age at death (m)	Thymus (mg)	Spleen (mg)	WBC (bn/L)	Diagnosis
145	10/01/13	20/03/13	29/07/13	4.3	6.6	n.a.	1970	n.a.	Other lymphoma (s)
155	09/01/13	20/03/13	21/08/13	5.1	7.4	380	680	n.a.	T-cell lymphoma (t, s)
157	03/03/13	05/06/13	13/09/13	3.3	6.4	n.a.	877	n.a.	Other lymphoma (s)
180	20/02/13	05/06/13	22/10/13	4.6	8.0	729	413	n.a.	T-cell lymphoma (t)
184	20/02/13	05/06/13	28/10/13	4.8	8.2	966	856	n.a.	T-cell lymphoma (t, s)
207	20/02/13	05/06/13	13/01/14	7.3	10.8	n.a.	153	n.a.	No leukaemia/ lymphoma
210	20/02/13	05/06/13	17/01/14	7.4	10.9	230	107	n.a.	No leukaemia/ lymphoma
212	20/02/13	05/06/13	31/01/14	7.9	11.3	400	1400	n.a.	Myeloid leukaemia (t, s)
213	20/02/13	05/06/13	02/02/14	8.0	11.4	30	170	n.a.	No leukaemia/ lymphoma
401	15/12/14	06/03/15	20/07/15	4.5	7.1	395	755	28.0	T-cell lymphoma (t, s)
402	21/12/14	06/03/15	22/07/15	4.5	7.0	45	2100	>100	Other lymphoma (s, l)
403	17/12/14	06/03/15	27/07/15	4.7	7.3	1450	110	n.a.	T-cell lymphoma (t)
404	17/12/14	06/03/15	27/07/15	4.7	7.3	53	1390	13.0	Other lymphoma (s)
405	20/12/14	06/03/15	27/07/15	4.7	7.2	29	1540	6.4	Other lymphoma (s)
406	21/12/14	06/03/15	27/07/15	4.7	7.2	21	128	5.4	T-cell lymphoma (s)
407	17/12/14	06/03/15	29/07/15	4.8	7.4	749	150	2.0	T-cell lymphoma (t)
408	18/12/14	06/03/15	29/07/15	4.8	7.3	58	259	4.1	No leukaemia/ lymphoma 
409	25/11/14	06/03/15	05/08/15	5.0	8.3	30	1800	48.9	Other lymphoma (s, l)
410	09/01/15	30/04/15	10/08/15	3.4	7.0	311	1450	10.1	T-cell lymphoma (t, s, ln, k)
411	17/12/14	06/03/15	02/09/15	5.9	8.5	10	1450	74.7	Other lymphoma (s)
412	18/12/14	06/03/15	02/09/15	5.9	8.5	18	1170	16.3	Other lymphoma (s, l)
413	17/12/14	06/03/15	10/09/15	6.2	8.8	22	2400	5.6	Other lymphoma (s)
414	17/12/14	06/03/15	10/09/15	6.2	8.8	n.a.	135	4.3	No leukaemia/ lymphoma
415	20/12/14	06/03/15	18/09/15	6.4	8.9	63	342	7.4	No leukaemia/ lymphoma
416	06/02/15	30/04/15	18/09/15	4.6	7.4	22	863	>100	Other lymphoma (s, l)
417	25/11/14	06/03/15	22/09/15	6.6	9.9	5	655	n.a.	Other lymphoma (s, l)
418	12/01/15	30/04/15	05/10/15	5.2	8.7	1340	142	5.6	T-cell lymphoma (t)
419	18/12/14	06/03/15	13/10/15	7.3	9.8	1400	132	7.7	T-cell lymphoma (t)
420	24/12/14	06/03/15	28/09/15	6.8	9.1	n.a.	n.a.	n.a.	Not analysed (dead in cage, discarded)
421	06/02/15	30/04/15	22/10/15	5.8	8.5	83	143	9.5	Other lymphoma/ histiocytic sarcoma (ln)
422	21/12/14	06/03/15	30/10/15	7.8	10.3	27	855	16.3	Other lymphoma (s)
423	27/02/15	30/04/15	30/10/15	6.0	8.1	1700	159	4.1	T-cell lymphoma (t)
424	01/02/15	30/04/15	06/11/15	6.2	9.1	46	784	38.8	Other lymphoma (s)
425	31/01/15	30/04/15	12/11/15	6.4	9.4	47	804	n.a.	Other lymphoma (s, l)
426	17/12/14	06/03/15	27/11/15	8.7	11.3	16	142	8.7	No leukaemia/ lymphoma
427	16/12/14	06/03/15	27/11/15	8.7	11.4	24	196	5.9	No leukaemia/ lymphoma
428	18/02/15	30/04/15	30/11/15	7.0	9.4	40	1000	26.8	Other lymphoma (s)
429	31/01/15	30/04/15	04/01/16	8.2	11.1	18	2000	9.6	Other lymphoma (s)
430	26/11/14	06/03/15	04/01/16	10.0	13.3	21	218	2.4	No leukaemia/ lymphoma
431	06/02/15	30/04/15	15/01/16	8.5	11.3	60	2600	2.7	No leukaemia/ lymphoma
432	18/02/15	30/04/15	15/01/16	8.5	10.9	20	853	62.1	Other lymphoma (s)
433	18/02/15	30/04/15	27/01/16	8.9	11.3	33	122	9.5	No leukaemia/ lymphoma
434	31/01/15	30/04/15	05/02/16	9.2	12.2	n.a.	1300	12.1	Other lymphoma (s, l)
435	08/02/15	30/04/15	12/02/16	9.5	12.1	17	974	20.5	Other lymphoma (s, l)
436	26/11/14	06/03/15	26/02/16	11.7	15.0	19	180	5.9	No leukaemia/ lymphoma
