sample	cline	genotype	treatment	conc	hours	rep
FF230228_1	BT549	WT	DMSO	0	48	1
FF230228_2	BT549	WT	DMSO	0	48	2
FF230228_3	BT549	WT	DMSO	0	48	3
FF230228_4	BT549	WT	rev	250	48	1
FF230228_5	BT549	WT	rev	250	48	2
FF230228_6	BT549	WT	rev	250	48	3
FF230228_7	BT549	WT	rev	500	48	1
FF230228_8	BT549	WT	rev	500	48	2
FF230228_9	BT549	WT	rev	500	48	3
FF230228_10	BT549	STAT1 KO	DMSO	0	48	2
FF230228_11	BT549	STAT1 KO	rev	200	48	2
FF230228_12	BT549	STAT1 KO	rev	500	48	2
FF230228_13	BT549	STAT1 KO	DMSO	0	48	3
FF230228_14	BT549	STAT1 KO	rev	200	48	3
FF230228_15	BT549	STAT1 KO	rev	500	48	3
FF230228_16	BT549	STAT1 KO	DMSO	0	48	4
FF230228_17	BT549	STAT1 KO	rev	200	48	4
FF230228_18	BT549	STAT1 KO	rev	500	48	4
